iter	Passed	Remaining
0	1	113
1	1	70
2	1	56
3	1	46
4	2	41
5	2	38
6	5	67
7	5	61
8	5	58
9	6	54
10	6	52
11	6	49
12	6	46
13	7	44
14	7	43
15	7	41
16	8	40
17	8	39
18	8	38
19	9	36
20	9	35
21	9	34
22	9	33
23	10	32
24	10	31
25	10	30
26	10	29
27	11	28
28	11	27
29	11	27
30	11	26
31	12	25
32	12	25
33	12	25
34	13	24
35	13	24
36	14	24
37	14	23
38	14	23
39	15	22
40	15	22
41	15	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	19	19
49	19	19
50	19	19
51	20	18
52	21	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	13
66	25	12
67	26	12
68	26	11
69	26	11
70	27	11
71	27	10
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	33	5
86	34	5
87	34	4
88	35	4
89	35	3
90	36	3
91	36	3
92	37	2
93	37	2
94	37	1
95	38	1
96	38	1
97	39	0
98	39	0
99	39	0
